sample_id,label,strategy,severity,mode,img_sign,cosine,hybrid_score,vote,correct
pair_0,same,random_noise,0.05,img_only,1.000000,0.998508,0.999627,MATCH,1
pair_0,same,random_noise,0.05,cosine_only,1.000000,0.998508,0.999627,MATCH,1
pair_0,same,random_noise,0.05,hybrid,1.000000,0.998508,0.999627,MATCH,1
pair_0,same,random_noise,0.1,img_only,1.000000,0.997554,0.999388,MATCH,1
pair_0,same,random_noise,0.1,cosine_only,1.000000,0.997554,0.999388,MATCH,1
pair_0,same,random_noise,0.1,hybrid,1.000000,0.997554,0.999388,MATCH,1
pair_0,same,random_noise,0.2,img_only,1.000000,0.990789,0.997697,MATCH,1
pair_0,same,random_noise,0.2,cosine_only,1.000000,0.990789,0.997697,MATCH,1
pair_0,same,random_noise,0.2,hybrid,1.000000,0.990789,0.997697,MATCH,1
pair_0,same,random_noise,0.4,img_only,0.985207,0.936260,0.976669,MATCH,1
pair_0,same,random_noise,0.4,cosine_only,0.985207,0.936260,0.976669,MATCH,1
pair_0,same,random_noise,0.4,hybrid,0.985207,0.936260,0.976669,MATCH,1
pair_0,same,block_zero,0.05,img_only,0.901381,0.940135,0.935724,MATCH,1
pair_0,same,block_zero,0.05,cosine_only,0.901381,0.940135,0.935724,MATCH,1
pair_0,same,block_zero,0.05,hybrid,0.901381,0.940135,0.935724,MATCH,1
pair_0,same,block_zero,0.1,img_only,0.891519,0.990427,0.943366,MATCH,1
pair_0,same,block_zero,0.1,cosine_only,0.891519,0.990427,0.943366,MATCH,1
pair_0,same,block_zero,0.1,hybrid,0.891519,0.990427,0.943366,MATCH,1
pair_0,same,block_zero,0.2,img_only,0.787968,0.977768,0.888426,UNCERTAIN,0
pair_0,same,block_zero,0.2,cosine_only,0.787968,0.977768,0.888426,MATCH,1
pair_0,same,block_zero,0.2,hybrid,0.787968,0.977768,0.888426,MATCH,1
pair_0,same,block_zero,0.4,img_only,0.580868,0.973434,0.783792,DIFFERENT,0
pair_0,same,block_zero,0.4,cosine_only,0.580868,0.973434,0.783792,MATCH,1
pair_0,same,block_zero,0.4,hybrid,0.580868,0.973434,0.783792,UNCERTAIN,0
pair_0,same,amplitude_drop,0.05,img_only,0.999014,0.980591,0.994655,MATCH,1
pair_0,same,amplitude_drop,0.05,cosine_only,0.999014,0.980591,0.994655,MATCH,1
pair_0,same,amplitude_drop,0.05,hybrid,0.999014,0.980591,0.994655,MATCH,1
pair_0,same,amplitude_drop,0.1,img_only,1.000000,0.958556,0.989639,MATCH,1
pair_0,same,amplitude_drop,0.1,cosine_only,1.000000,0.958556,0.989639,MATCH,1
pair_0,same,amplitude_drop,0.1,hybrid,1.000000,0.958556,0.989639,MATCH,1
pair_0,same,amplitude_drop,0.2,img_only,0.999014,0.899144,0.974293,MATCH,1
pair_0,same,amplitude_drop,0.2,cosine_only,0.999014,0.899144,0.974293,MATCH,1
pair_0,same,amplitude_drop,0.2,hybrid,0.999014,0.899144,0.974293,MATCH,1
pair_0,same,amplitude_drop,0.4,img_only,0.970414,0.794970,0.933950,MATCH,1
pair_0,same,amplitude_drop,0.4,cosine_only,0.970414,0.794970,0.933950,MATCH,1
pair_0,same,amplitude_drop,0.4,hybrid,0.970414,0.794970,0.933950,MATCH,1
pair_10,same,random_noise,0.05,img_only,1.000000,0.998448,0.999612,MATCH,1
pair_10,same,random_noise,0.05,cosine_only,1.000000,0.998448,0.999612,MATCH,1
pair_10,same,random_noise,0.05,hybrid,1.000000,0.998448,0.999612,MATCH,1
pair_10,same,random_noise,0.1,img_only,1.000000,0.997676,0.999419,MATCH,1
pair_10,same,random_noise,0.1,cosine_only,1.000000,0.997676,0.999419,MATCH,1
pair_10,same,random_noise,0.1,hybrid,1.000000,0.997676,0.999419,MATCH,1
pair_10,same,random_noise,0.2,img_only,1.000000,0.990600,0.997650,MATCH,1
pair_10,same,random_noise,0.2,cosine_only,1.000000,0.990600,0.997650,MATCH,1
pair_10,same,random_noise,0.2,hybrid,1.000000,0.990600,0.997650,MATCH,1
pair_10,same,random_noise,0.4,img_only,0.972387,0.931457,0.969057,MATCH,1
pair_10,same,random_noise,0.4,cosine_only,0.972387,0.931457,0.969057,MATCH,1
pair_10,same,random_noise,0.4,hybrid,0.972387,0.931457,0.969057,MATCH,1
pair_10,same,block_zero,0.05,img_only,0.898422,0.950662,0.936877,MATCH,1
pair_10,same,block_zero,0.05,cosine_only,0.898422,0.950662,0.936877,MATCH,1
pair_10,same,block_zero,0.05,hybrid,0.898422,0.950662,0.936877,MATCH,1
pair_10,same,block_zero,0.1,img_only,0.795858,0.902535,0.873563,MATCH,1
pair_10,same,block_zero,0.1,cosine_only,0.795858,0.902535,0.873563,MATCH,1
pair_10,same,block_zero,0.1,hybrid,0.795858,0.902535,0.873563,MATCH,1
pair_10,same,block_zero,0.2,img_only,0.598619,0.763815,0.740263,DIFFERENT,0
pair_10,same,block_zero,0.2,cosine_only,0.598619,0.763815,0.740263,MATCH,1
pair_10,same,block_zero,0.2,hybrid,0.598619,0.763815,0.740263,UNCERTAIN,0
pair_10,same,block_zero,0.4,img_only,0.577909,0.970864,0.781671,DIFFERENT,0
pair_10,same,block_zero,0.4,cosine_only,0.577909,0.970864,0.781671,MATCH,1
pair_10,same,block_zero,0.4,hybrid,0.577909,0.970864,0.781671,UNCERTAIN,0
pair_10,same,amplitude_drop,0.05,img_only,1.000000,0.982370,0.995592,MATCH,1
pair_10,same,amplitude_drop,0.05,cosine_only,1.000000,0.982370,0.995592,MATCH,1
pair_10,same,amplitude_drop,0.05,hybrid,1.000000,0.982370,0.995592,MATCH,1
pair_10,same,amplitude_drop,0.1,img_only,1.000000,0.961561,0.990390,MATCH,1
pair_10,same,amplitude_drop,0.1,cosine_only,1.000000,0.961561,0.990390,MATCH,1
